Station Name,Street Address,City,State,ZIP,Station Phone,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,ID,EVConnectorTypes,Country,Access Code,Access Detail Code,Facility Type,EV Pricing
Oregon Museum of Science and Industry (OMSI) - South Parking Lot,1945 SE Water Ave,Portland,OR,97214,800-955-6674,Public,24 hours daily,Unknown,2,2,0,Non-Networked,45.508396,-122.664667,33378,J1772,US,Public,,MUSEUM,No Fee
Nike - LA Garage,1 Bowerman Dr,Beaverton,OR,97006,Unknown,Private,Employee use only,Unknown,0,6,0,Non-Networked,45.508795,-122.8249,34859,J1772,US,Private,,OFFICE_BLDG,Unknown
LINCOLN CITY,1226 SW 50th St,Lincoln City,OR,97367,888-758-4389,Public,24 hours daily,Unknown,1,3,0,ChargePoint Network,44.928434,-124.015938,35258,J1772,US,Public,,,No Fee
LBCC,Ellingson Rd SW,Albany,OR,97321,888-758-4389,Public,24 hours daily,Unknown,0,6,0,ChargePoint Network,44.5861227,-123.1153894,35480,J1772,US,Public,,,No Fee
LINCOLN CITY,1601 NE 15th St,Lincoln City,OR,97367,888-758-4389,Public,24 hours daily,Unknown,1,1,0,ChargePoint Network,44.9760399,-124.0114594,35481,J1772,US,Public,,,No Fee
Oregon Electric Group,1709 SE 3rd Ave,Portland,OR,97214,Unknown,Private,Employee use only,Unknown,3,1,0,Non-Networked,45.510465,-122.663354,35557,J1772,US,Private,,UTILITY,Unknown
Lane Community College,4000 E 30th Ave,Eugene,OR,97405,541-463-3000,Public,"Employee, student, and visitor use only",Unknown,10,10,0,Non-Networked,44.009797,-123.033213,36371,J1772,US,Public,,COLLEGE_CAMPUS,No Fee
HILLSBORO OR,150 E Main St,Hillsboro,OR,97123,888-758-4389,Public,24 hours daily,Unknown,1,5,0,ChargePoint Network,45.522458,-122.98884,37170,J1772,US,Public,,,"$1 per hour, minimum payment of $1, maximum payment of $24, maximum session time is 24 hours"
HILLSBORO OR,253 SE 8th Ave,Hillsboro,OR,97123,888-758-4389,Public,24 hours daily,Unknown,8,12,0,ChargePoint Network,45.520375,-122.978105,37171,J1772,US,Public,,,"$1 per hour, minimum payment of $1, maximum payment of $24, maximum session time is 24 hours"
Oregon Museum of Science and Industry (OMSI) - North Parking Lot,1945 SE Water Ave,Portland,OR,97214,800-955-6674,Public,24 hours daily,Unknown,0,1,0,Non-Networked,45.509326,-122.666392,37651,J1772,US,Public,,MUSEUM,No Fee
Bonneville Power Administration,905 NE 11th Ave,Portland,OR,97232,Unknown,Private,Unknown,Unknown,0,4,0,Non-Networked,45.529023,-122.656006,38990,J1772,US,Private,,FLEET_GARAGE,Unknown
Carr Nissan,3855 SW Cedar Hills Blvd,Beaverton,OR,97005,503-643-8676,Public - Call ahead,Dealership business hours,Unknown,0,1,0,Non-Networked,45.491784,-122.81107,39827,J1772,US,Public,CALL,CAR_DEALER,No Fee
Smolich Nissan,1835 NE Highway 20,Bend,OR,97701,541-389-1177,Public - Call ahead,Dealership business hours,Unknown,0,0,1,Non-Networked,44.055213,-121.277279,39828,CHADEMO,US,Public,CALL,CAR_DEALER,No Fee
Smolich Nissan,1835 NE Highway 20,Bend,OR,97701,541-389-1177,Public - Call ahead,Dealership business hours,Unknown,0,2,0,Non-Networked,44.055213,-121.277279,39828,J1772,US,Public,CALL,CAR_DEALER,No Fee
Kiefer Nissan,900 NW 4th St,Corvallis,OR,97330,541-753-1694,Public - Call ahead,Dealership business hours,Unknown,0,1,0,Non-Networked,44.572609,-123.258425,39830,J1772,US,Public,CALL,CAR_DEALER,No Fee
Lithia Nissan of Eugene,2060 Martin Luther King,Eugene,OR,97401,541-686-2211,Public - Call ahead,Dealership business hours,Unknown,0,1,0,Non-Networked,44.05902085,-123.0813975,39831,J1772,US,Public,CALL,CAR_DEALER,No Fee
Dick Hannah Nissan,19505 SE McLoughlin Blvd,Gladstone,OR,97027,503-655-6519,Public - Call ahead,Dealership business hours,Unknown,0,1,0,Non-Networked,45.378968,-122.603899,39832,J1772,US,Public,CALL,CAR_DEALER,No Fee
Chuck Colvin Nissan,1925 N Highway 99W,McMinnville,OR,97128,503-472-6124,Public - Call ahead,Dealership business hours,Unknown,0,1,0,Non-Networked,45.227394,-123.180863,39836,J1772,US,Public,CALL,CAR_DEALER,No Fee
Lithia Nissan,4560 Grumman Dr,Medford,OR,97504,541-930-3025,Public - Call ahead,Dealership business hours,Unknown,0,1,0,Non-Networked,42.379968,-122.858192,39837,J1772,US,Public,CALL,CAR_DEALER,No Fee
Rustom Nissan - Portland,1212 NE 122nd Ave,Portland,OR,97230,503-251-3349,Public - Call ahead,Dealership business hours,Unknown,0,1,0,Non-Networked,45.531758,-122.537403,39838,J1772,US,Public,CALL,CAR_DEALER,No Fee
Power Nissan - Salem,2755 Mission St SE,Salem,OR,97302,503-581-3849,Public - Call ahead,Dealership business hours,Unknown,0,1,0,Non-Networked,44.921581,-123.006236,39839,J1772,US,Public,CALL,CAR_DEALER,No Fee
Ray Schultens Nissan,2400 W 6th St,The Dalles,OR,97058,541-296-4613,Public - Call ahead,Dealership business hours,Unknown,0,0,1,Non-Networked,45.613978,-121.20996,39840,CHADEMO,US,Public,CALL,CAR_DEALER,No Fee
Ray Schultens Nissan,2400 W 6th St,The Dalles,OR,97058,541-296-4613,Public - Call ahead,Dealership business hours,Unknown,0,2,0,Non-Networked,45.613979,-121.20996,39840,J1772,US,Public,CALL,CAR_DEALER,No Fee
Tonkin Nissan,26700 SW 95th Ave,Wilsonville,OR,97070,503-222-2277,Public - Call ahead,Dealership business hours,Unknown,0,2,0,Non-Networked,45.326813,-122.770853,39841,J1772,US,Public,CALL,CAR_DEALER,No Fee
Southern Oregon University - Lot 8,401 Stadium St,Ashland,OR,97520,541-552-7275,Public,24 hours daily; parking permit required,Unknown,2,3,0,Non-Networked,42.187149,-122.689496,40752,J1772,US,Public,,COLLEGE_CAMPUS,No Fee
Mentor Graphics,8005 SW Boeckman Rd,Wilsonville,OR,97070,Unknown,Private,Employee and customer use only,Unknown,1,1,0,Non-Networked,45.317487,-122.759692,40765,J1772,US,Private,,OFFICE_BLDG,Unknown
Easystreet Inc,9705 SW Sunshine Ct,Beaverton,OR,97005,503-646-8400,Public - Call ahead,8am-5pm daily; Employee and customer use only,Unknown,1,1,0,Non-Networked,45.475964,-122.777052,40775,J1772,US,Public,CALL,OFFICE_BLDG,No Fee
