Make,Model
ZERO,15
Ford,13
Volvo,12
BMW,12
Audi,11
Hyundai,7
Kia,7
Mercedes-Benz,7
HD,6
Tesla,5
GLBL,5
Chevrolet,4
Porsche,4
Toyota,4
GEM,3
Honda,3
Ferrari,2
Smart,2
EVTS,2
Subaru,2
TOYT,2
FIAT,2
Rivian,2
HOND,2
Polestar,2
POLS,2
JONW,2
Jeep,2
Mitsubishi,2
Karma,2
LIVW,2
Land Rover,2
Lincoln,2
ENRG,2
MINI,2
AMIC,2
Cadillac,2
VCTY,2
CLUB,2
AECI,2
CYCL,2
ALTM,2
Volkswagen,2
ZONG,2
CHEV,2
YMSK,1
PORS,1
UTIM,1
YCIT,1
QINJ,1
YAMA,1
WXIT,1
POLAR,1
ZHEJ,1
ZAPP,1
Nissan,1
ZENN,1
WESTW,1
ZLSV,1
ZONE,1
McLaren,1
Mazda,1
MTBC,1
MOTV,1
WHGO,1
SLEL,1
SCAS,1
SHGY,1
VANT,1
VCTX,1
TRUM,1
VESP,1
VNTV,1
TOMB,1
TIGER,1
MILES,1
THNK,1
TEBRD,1
TBTN,1
VOLK,1
TAYDU,1
TAOI,1
WEST,1
WESTR,1
Scion,1
SYMG,1
SPCW,1
SMRT,1
UBCO,1
ACGC,1
Jaguar,1
MIEV,1
CPCC,1
ETUK,1
ERID,1
ELVT,1
ELVC,1
ELCY,1
DODG,1
DATSU,1
DATS,1
DAIH,1
Chrysler,1
CVGI,1
CUSH,1
CRUS,1
CORBN,1
MERZ,1
CKEM,1
CITR,1
CITIC,1
CITI,1
CHNA,1
CEVL,1
Bentley,1
BRMO,1
BRAM,1
BAOD,1
ASVE,1
ASMBL,1
ARCM,1
EVT,1
EVTT,1
EZGO,1
FPEC,1
MAHIN,1
MAHI,1
Lucid,1
Lexus,1
KTM,1
KLDT,1
ADTA,1
JOHND,1
JIJM,1
JIAN,1
JHGS,1
JDMC,1
JBLC,1
INGR,1
HODA,1
HDKP,1
HDGC,1
HCKC,1
Genesis,1
GRUM,1
GOLDB,1
GMC,1
GENZE,1
GENZ,1
GENU,1
GARI,1
Fisker,1
ZYTD,1
